"","SAI","Policy_num","Prime","Competitor","Program","mstr_agt_cd","pri_agt_cd","sub_agt_cd","insured_zip_cd"
"262","6026F6214","0K042239","CORNERSTONE INSURANCE","Hanover","CON PAC PAINT- INTERIOR & PAPE","CKH34","CKH34","CKH34","23234"
"264","6158F0214","0K042590","MGM ASSOCS OF ROCHESTER","Other","STORE PAC CONVENIENCE STORE W","VE046","VE046","VE046","14612"
"266","6244F1214","0K043802","BARGER INSURANCE AGENCY","EMC","STORE PAC PHOTOGRAPHY - PORTRA","CSN63","DDP81","DDP81","42728"
"269","6260F1214","0K043899","SEARS & ASSOCIATES INC","Hartford","RESTAURANT ALL OTHER - FAMILY","HE764","HE764","HE764","98110"
"270","6274F9214","0K044024","FOUNDATION INS GROUP","Millers Mutual","APART PAC BLDG 1-4 UNITS","CFP03","X3730","X3730","20832"
"271","9066T7206","0K044755","THE BUCKNER COMPANY","Auto Owners","CONDO PAC BLDG 5-12 UNITS","11527","11527","11527","84107"
"272","6332F1214","0K044767","GREENWOOD INS GROUP INC","Other","GARAGE PAC GENERAL REPAIRS WIT","RW815","RW815","RW815","77318"
"273","6364F8214","0K045198","MUSTARD SEED FINANCIAL","Auto Owners","BLDG PAC GAS STATIONS - LESSOR","DFQ10","CQV49","CQV49","83642"
"274","6388F4214","0K04536A","YEAGER INS & FIN SCVS LL","Cox-Excess","GARAGE PAC GENERAL REPAIRS WIT","DDV70","DDV70","DDV70","25312"
"275","6387FA214","0K045402","NFP PROPERTY & CASUALTY","Other","APART PAC BLDG 1-4 UNITS","CGR28","HH860","HH860","91390"
"276","6391F1214","0K045414","ADVANTAGE INS PLLC","Hartford","BUS PAC NAIL SALONS","DBB38","X4324","X4324","85268"
"278","6382F7214","0K045438","L P INS SERVICES INC","Other","APART PAC BLDG 13-24 UNITS","FH428","CWV32","CWV32","89503"
"279","6375F1214","0K045475","JOHNSON GROUP INS CORP","Other","CON PAC TILE/STONEWORK INTERIO","CVX71","CVX71","CVX71","85304"
"280","6431F5214","0K046195","SALERNO BROKERAGE CORP","Other","CON PAC ELEC-WIRING WITHIN BLD","CBG59","CBG59","CBG59","11552"
"281","6503F5214","0K047259","BELL ANDERSON AGENCY INC","Other","RESTAURANT ORIENTAL-FAMILY STY","DHX70","XV902","XV902","98029"
"282","6502F0214","0K04739A","INSURANCE RESOURCES","Other","BLDG PAC GAS STATIONS - LESSOR","CTG50","CTG50","CTG50","98021"
"283","6516F8214","0K047481","LAKE INS AGENCY INC","Other","RESTAURANT ORIENTAL-FAMILY STY","TK667","XY841","XY841","92101"
"284","6524F8214","0K047548","PACIFIC WESTERN INS SVCS","Other","BLDG PAC MERCANTILE OTHER","XL873","XL873","XL873","91311"
"285","6534F7214","0K047708","J S WARD & SON INC","Hartford","STORE PAC FLORISTS SHOPS INC.","YL135","YL135","YL135","88210"
"286","6552F6214","0K047849","SILVERLEAF INS GRP LLC","Other","RESTAURANT ORIENTAL TAKE-OUT","CTL57","CTL57","CTL57","85016"
"289","6572F4214","0K04819A","LEAVITT GRP AGCY ASSN","Liberty","RESTAURANT PIZZA-FAMILY STYLE","FE307","FE307","FE307","84648"
"290","6663F8214","0K049308","DML INSURANCE SERVICES","Hartford","OFC PAC EMPLOYMENT AGENCIES (E","CCJ01","CCJ01","CCJ01","98102"
"291","6673F7214","0K049449","REKERDRES INS AGENCY","Hartford","RESTAURANT ALL OTHER - FAMILY","CKS32","CKS32","CKS32","75235"
"293","6804F4214","0K053125","BRAND AND BRITT INS AGCY","Auto Owners","GARAGE PAC GENERAL REPAIRS WIT","NR224","A8313","A8313","30655"
"295","4633F8214","0K053660","BROWN & BROWN OF PA LP","Liberty Mutual","APART PAC BLDG 5-12 UNITS","PF882","CSY66","CSY66","7751"
"297","7109F6214","0K059154","INSPIRE INS SOLUTIONS","CNA","RESTAURANT ALL OTHER - FAMILY","CSN73","CSN73","CSN73","78717"
"299","7156F8214","0K060116","PARTNERS EEB B&C INC","Liberty","GARAGE PAC GENERAL REPAIRS WIT","HF251","HF251","HF251","13827"
"301","7163F3214","0K060706","INTEGRATED INS SOLUTIONS","Erie","BLDG PAC MERCANTILE OTHER","WM000","WM000","WM000","22101"
"303","7203F7214","0K061101","MGM ASSOCS OF ROCHESTER","Other","BLDG PAC MERCANTILE SHOP CENTE","VE046","VE046","VE046","14606"
"305","7228F8214","0K061426","HOWEY & ASSOCIATES INC","Other","STORE PAC HEARING AIDS & AUDIO","G6606","G6606","G6606","48195"
"306","7236F8214","0K061487","BLC INSURANCE","Allied","STORE PAC PHOTOGRAPHY - COMMER","PT376","PT376","PT376","50265"
"307","7165F2214","0K061635","EDWARDS-GRAHAM INSURANCE","Other","RELIGIOUS PAC-OWNER OCCUPIED","CBT51","CBT51","CBT51","78840"
"309","7212F1214","0K061696","SANFORD BRUKER & BANKS","Hanover","BLDG PAC OFC PRIMARY","CL892","FU132","FU132","30914"
"311","3250F3214","0K061936","FROST INS AGCY-DALLAS","Other","BLDG PAC OFC PRIMARY","EF268","FT877","FT877","75225"
"312","7280F6214","0K062459","HMK INSURANCE","Selective","GENERAL STORES","PP487","HE626","HE626","18101"
"313","3352Y3213","0K062945","TOWNE-W T CHAPIN","Selective","STORE PAC HEALTH FOOD STORES","HG158","HG047","HG047","23601"
"314","7270F7214","0K064152","BLOCK INS AGENCY INC","Erie","BLDG PAC MERCANTILE OTHER","HH300","HH300","HH300","18104"
"315","7405f2214","0K064686","ALEXANDER & STRUNK INC","Hartford","OFC PAC DENTISTS","FG007","XL688","XL688","74055"
"316","7223F5214","0K064754","THAI CHANG AGENCY INC","Hartford","STORE PAC - OFFICES SUPPLIES","DJF18","DJF18","DJF18","30084"
"318","7564F0214","0K066249","ONEGROUP NY INC","Other","BUS PAC DAY SPA","RP828","XJ255","XJ255","13807"
"320","7590FA214","0K066631","FAHEY-LEAVITT INS AGENCY","Other","BUS PAC NAIL SALONS","DGD17","DGD17","DGD17","26062"
"321","7582FA214","0K066920","NCMIC INSURANCE SERVICES","Hartford","OFC PAC CHIROPRACTORS","CJG37","CJG37","CJG37","90230"
"322","7619F6214","0K066956","DUMONT\ROLAND\AGCY INC","Hartford","BUS PAC DAY SPA","VY581","23743","23743","6705"
"323","9471E8214","0K067025","SANDY SPRING INS CORP","Other","CONDO PAC BLDG 1-4 UNITS","G4292","G4292","G4292","20904"
"325","7744F9214","0K068716","INSURANCE ASSOCIATES INC","Hartford","BUS PAC BEAUTY SHOPS","F1351","F1351","F1351","6062"
"330","7748F7214","0K068765","SCOTT AGENCY INC","Other","BLDG PAC OFC PRIMARY","DGS03","80795","80795","63361"
"331","7822FA214","0K070435","ROUTE 66 INSURANCE INC","Other","APART PAC BLDG 13-24 UNITS","CNL03","CNL03","CNL03","87106"
"332","7910fa214","0K071180","SUMMIT INS GROUP INC","Other","STORE PAC APPLIANCE","CGS58","X3307","X3307","30512"
"333","7918F6214","0K071272","ASHCRAFT INS AGCY OF VA","Hartford","RESTAURANT OTHER ETHIC CUISINE","EJ330","CHJ19","CHJ19","22151"
"334","7920F9214","0K071296","SHANNON BANKS & SMITH","Hartford","RESTAURANT ALL OTHER - FAMILY","G4211","G4211","G4211","35953"
"335","7941F1214","0K071364","M J CARTER & COMPANY INC","Chubb","BLDG PAC MERCANTILE OTHER","HE568","CSS98","CSS98","35616"
"336","7944F5214","0K071420","HABERMAN INS GROUP INC","CNA","CON PAC CARPET,RUG,UPHOLSTRY C","CXX67","HF403","HF403","2451"
"337","7949F8214","0K071597","THOMPSON INSURANCE INC","Liberty","BLDG PAC MERCANTILE OTHER","PH912","PH912","PH912","36104"
"338","7963F9214","0K071801","SFD ACQUISITION CO LLC","Allied","OFC PAC LAWYERS","CSW39","CSW39","CSW39","52403"
"339","8000F3214","0K072336","COUNTRY CLUB INS SERVICE","Pekin","BUS PAC COIN OPERATED LAUNDRIE","CTP63","CTP63","CTP63","85249"
"340","8014F0214","0K072601","BEST BUY INSURANCE","Hartford","OFC PAC LAWYERS","CGD99","CGD99","CGD99","80111"
"341","8014F0214","0K072601","BEST BUY INSURANCE","Liberty","OFC PAC LAWYERS","CGD99","CGD99","CGD99","80111"
"342","7993F6214","0K07278A","SOPHIA EMMANUEL LLC","Liberty","CONDO PAC BLDG 5-12 UNITS","RV055","CJX77","CJX77","19046"
"343","8015F5214","0K073333","ROUTE 66 INSURANCE INC","Other","BLDG PAC MERCANTILE SHOP CENTE","CNL03","CNL03","CNL03","87199"
"345","8119F1214","0K074065","GHB INC","Other","OFC PAC PHYS AND SURG & OSTEOP","VE269","VE269","VE269","98501"
"346","8216F6214","0K075098","FOOTHILLS INS AGCY INC","Nationwide","STORE PAC ICE CREAM & FROZEN Y","GA245","GA245","GA245","85033"
"347","8265F7214","0K075707","PENINSULA EXCESS INS BKR","CNA","BUS PAC NAIL SALONS","XL699","XY753","XY753","19320"
"348","8276F0214","0K076218","HORST INSURANCE","Other","COMMERCIAL CONDOMINIUM - OFFIC","GE940","GE940","GE940","17602"
"349","8281F7214","0K076280","NCMIC INSURANCE SERVICES","Hartford","OFC PAC PHYS AND SURG & OSTEOP","CJG37","CJG37","CJG37","98043"
"350","8313F0214","0K076440","HOMESTAR INSURANCE SRVS","Hartford","APART PAC BLDG 5-12 UNITS","RK019","RK019","RK019","60914"
"352","8332F4214","0K076697","ASSOCIATED INSURANCE","Hartford","STORE PAC BICYCLE STORES","XL985","XL985","XL985","87110"
"353","8343f8214","0K07681A","STEVENS-DELL & ASSOC INC","Harleysville","BLDG PAC MERCANTILE SHOP CENTE","TW906","TW906","TW906","72114"
"355","8327F8214","0K076821","EASTERN SHORE ASSOCIATES","Other","OFC PAC PET GROOMERS","G5110","G5110","G5110","13069"
"356","8353F7214","0K076962","HALLASON GROUP LLC","Motorists","CON PAC MASONRY","HU396","DBH64","DBH64","25976"
"357","8378F8214","0K077159","PENINSULA EXCESS INS BKR","CNA","OFC PAC - INTERIOR DECORATORS","XL699","XY753","XY753","92110"
"358","8406F3214","0K077762","ASSOC AGENCIES INC","Hartford","BUS PAC PRINTERS","RR589","RR589","RR589","60612"
"359","8432F2214","0K078027","STOCHAJ\E J\INS-RAIS","Liberty","STORE PAC VACUUM CLENER SALE &","TW555","X1108","X1108","1570"
"360","8427F6214","0K07817A","HAMILTON AGENCY\THE","Auto Owners","CON PAC FURN/FIXTUR INSTALL CO","CSM00","CSM00","CSM00","30601"
"361","8443F6214","0K078316","VETINSURE LLC","Hartford","OFC PAC VETERINARIANS","DCL59","X4321","X4321","30728"
"362","8448F9214","0K078598","RUPP & FIORE INS MGT INC","Lebanon Valley","STORE PAC LINGERIE AND HOSIERY","25078","25078","25078","15025"
"363","2318V4201","0K078814","ASSURED RISK ADVISORS","Selective","BUS PAC BEAUTY SHOPS","FR314","DFW65","DFW65","15146"
"364","8470FA214","0K078826","INSURANCE SOLUTIONS","Allied","APART PAC BLDG 13-24 UNITS","CCY25","CKJ94","CKJ94","91358"
"365","8508F0214","0K080176","ASSUREDPARTNERS OF NE PA","Liberty","RESTAURANT OTHER ETHIC CUISINE","DFR47","CHS23","CHS23","18507"
"366","8598F2214","0K080207","BROWN & BROWN OF WA INC","Hanover","DATA PREPARATION & PROCESSING","HE744","JW892","JW892","98195"
"367","8228f4214","0K080570","TIS OF THE CAROLINAS LLC","Hartford","OFC PAC ADVERTISING & COMMERCI","F0716","CXK32","CXK32","27601"
"369","8609F3214","0K080637","MARK V WILLIAMSON CO INC","Liberty","OFC PAC ADVERTISING & COMMERCI","FG007","YW294","YW294","72201"
"371","8667F9214","0K08115A","ASSURED RISK ADVISORS","Selective","BUS PAC DAY SPA","FR314","DFW65","DFW65","15220"
"372","8622FA214","0K081370","MORNING STAR AGENCY INS","Hartford","OFC PAC PHYS AND SURG & OSTEOP","CKF98","CKF98","CKF98","92506"
"373","8707F2214","0K082213","ROUTE 66 INSURANCE INC","Hartford","CON PAC PLUMBING","CNL03","CNL03","CNL03","87110"
"376","8800F9214","0K083326","TOMPKINS INS AGENCIES","Liberty","STORE PAC HARDWARE","F6641","XW772","XW772","14891"
"377","8826F4214","0K083584","MFE INS BROKERAGE SVCS","USLI","CONSULTANTS - ALL OTHER","XJ501","DKW09","DKW09","10014"
"379","8855F7214","0K083941","IJ HOSEY SONS INS AGCY","Liberty","CON PAC HEATING-COMBINE HVAC","41956","41956","41956","18655"
"380","6258F9214","0K084243","MARTHINSEN & SALVITTI","Mutual","CONDO PAC BLDG 5-12 UNITS","HH288","HH288","HH288","15301"
"381","8853F8214","0K084267","FROST INS AGCY-DALLAS","Hartford","BUILDING LRO-FOR RELIGIOUS USE","EF268","FT877","FT877","75244"
"382","8956FA214","0K085344","SOUTH RISK MANAGEMENT","Auto Owners","BLDG PAC MERCANTILE OTHER","CHB75","CHB75","CHB75","29201"
"383","8966F9214","0K085461","ELFSTRUM CONSULTING","Hartford","BUS PAC BEAUTY SHOPS","DGZ72","CQK18","CQK18","55044"
"384","8953F6214","0K085621","DYSTE WILLIAMS AGENCY","Hartford","BUILDING LRO-FOR RELIGIOUS USE","24158","24158","24158","55413"
"385","8968F8214","0K085750","ROBINS INS AGENCY INC","CNA","BUS PAC NAIL SALONS","CZR57","HG199","HG199","23235"
"386","8969F2214","0K086015","COOKSON & BOWMAN INS SVC","Hartford","STORE PAC FOOD AND DRINKS DELI","XG032","DGL10","DGL10","95945"
"387","1257F8188","0K08641A","TOTAL INS SRVCS INC","Other","CON PAC PAINT- INTERIOR & PAPE","RK215","RK215","RK215","60053"
"388","9039f8214","0K086501","INS OFFICE OF AMERICA","Hanover","OFC PAC - INTERIOR DECORATORS","VJ001","XH079","XH079","30345"
"389","9037F9214","0K086549","BELL ANDERSON AGENCY INC","Hanover","APART PAC BLDG 5-12 UNITS","DHX70","XV902","XV902","98115"
"390","4318n5206","0K086562","NORTHERN INSURING AGENCY","Other","JEWELRY FINE","VE438","VE438","VE438","13662"
"391","9057F7214","0K086899","ADVANCED INS UNDERWRITERS","Other","APART PAC BLDG 13-24 UNITS","VX465","SV592","SV592","36106"
"392","9065F7214","0K086955","ELFSTRUM CONSULTING","Hartford","OFC PAC LAWYERS","DGZ72","CQK18","CQK18","55042"
"394","9061F9214","0K086979","EXCEED INSURANCE AGENCY","Liberty","RESTAURANT OTHER ETHIC CUISINE","XH379","CKP99","CKP99","46254"
"396","9062f3214","0K087036","HUGUENOT-NATIONAL INC","Other","RESTAURANT ALL OTHER - FAMILY","CFH80","CFH80","CFH80","10543"
"397","9056F2214","0K087061","CSE AGENCY","Allied","CONSULTANTS - MANAGEMENT","G3041","G3041","G3041","24382"
"398","9056F2214","0K087061","CSE AGENCY","Auto Owners","CONSULTANTS - MANAGEMENT","G3041","G3041","G3041","24382"
"399","9109F9214","0K087509","INSUREUS","Hartford","OFC PAC EMPLOYMENT AGENCIES (E","CKG42","CKG42","CKG42","77429"
"400","9170F1214","0K08836A","SASCO INS SERVICES INC","Other","BLDG PAC OFC PRIMARY","HE771","HF791","HF791","7624"
"402","9180F0214","0K088426","PROF SOLUTIONS INS","Hartford","OFC PAC DENTISTS","CJG37","CJG42","CJG42","94402"
"403","9208F2214","0K088740","WESTOVER-BON AIR INS LLC","Alfa","BLDG PAC GAS STATIONS - LESSOR","YL094","YL094","CDQ66","23030"
"404","9240F2214","0K089158","EXCEED INSURANCE AGENCY","Liberty","RESTAURANT ORIENTAL-FAMILY STY","XH379","CKP99","CKP99","40222"
"406","9392F5214","0K091572","JOHNSON GROUP INS CORP","Hartford","OFC PAC MED SPA","CVX71","CVX71","CVX71","85377"
"408","7765f1214","0K091720","DAIGLE & TRAVERS INS AGY","Peerless (Liberty Company)","BLDG PAC GAS STATIONS - LESSOR","CSV37","CSV37","CSV37","6810"
"409","9484F3214","0K09273A","BBH ENTERPRISES LLC","Auto Owners","BUS PAC NAIL SALONS","CSP06","CSP06","CSP06","31407"
"412","9516F7214","0K093018","BROOKSTONE INS GROUP","Other","RESTAURANT ORIENTAL-FAMILY STY","DKK93","DKK93","DKK93","75081"
"415","9524F7214","0K093203","SARTORI INS AGENCY INC","Other","CONDO PAC BLDG 1-4 UNITS","PP980","DHV60","DHV60","2464"
"417","9490F4214","0K093633","PACIFIC CREST SRVCS INC","Other","STORE PAC FOOD AND DRINKS CAND","CPM15","CPM15","CPM15","78750"
"418","9579F5214","0K093958","PAULET SLATER INC","Other","STORE PAC CONVENIENCE STORE W","VY698","WG582","WG582","55103"
"419","9589F4214","0K094119","CLAY & LAND INS INC","Hanover","STORE PAC FURN APPL ACC FURN S","78473","78473","78473","40299"
"420","9617FA214","0K094574","GG INS SERVICES INC","Allied","APART PAC BLDG 5-12 UNITS","DFQ88","DFQ88","DFQ88","89119"
"421","9638F2214","0K094906","ALPHA INSURANCE SOLUTION","Guard Insurance (Berkshire Hathaway)","APART PAC BLDG 1-4 UNITS","CFY49","DHX05","DHX05","60564"
"423","9663F7214","0K095282","ROUTE 66 INSURANCE INC","Other","CON PAC HEATING-COMBINE HVAC","CNL03","CNL03","CNL03","87144"
"424","2938EA214","0K095510","PROF SOLUTIONS INS","Other","CONDO PAC BLDG 5-12 UNITS","CJG37","CJG42","CJG42","50131"
"425","9702F6214","0K095823","CCIG","Allied","RESTAURANT ALL OTHER - FAST FO","VG178","VG178","VG178","80126"
"426","9734F2214","0K096162","HARTWELL CORPORATION\THE","Other","STORE PAC FOOD AND DRINKS BAKE","HE529","HE529","HE529","83402"
"428","9657F6214","0K096229","CO-WEST INSURANCE GROUP","Auto Owners","BLDG PAC OFC PRIMARY","61343","61343","61343","80107"
"429","9780FA214","0K096740","UNIVERSAL BUSINESS INS","Liberty","CON PAC DRIVEWAY,SIDEWALK,PARK","VE500","CTN67","CTN67","84780"
"430","5690E4207","0K097379","GUARDIAN INS GROUP","Other","BUS PAC SHOE REPAIR SHOP","CXQ19","CXQ19","CXQ19","85254"
"431","9881F2214","0K098235","ABP INSURANCE AGENCY","Main Street","CONSULTANTS - ALL OTHER","PC967","PC967","PC967","22030"
"432","9926F9214","0K098874","HOLMES MURPHY ASSOC LLC","Other","BLDG PAC MERCANTILE OTHER","A4782","A4782","A4782","50265"
"433","9934F9214","0K099035","COLONIAL GENERAL AGENCY","Hartford","STORE PAC BEVERAGE STORES - NO","TK581","TK581","TK581","85201"
"434","8830E3214","0K104258","STARKE AGENCY INC","State Auto","RESTAURANT SEAFOOD-FAMILY STYL","HE805","HE805","HE805","36106"
"435","1216G4214","0K106043","TOMPKINS INS AGENCIES","Other","BLDG PAC APART INCIDENTAL MERC","F6641","XW772","XW772","14477"
"436","1722DA207","0K106995","BURNS & BURNS ASSOC INC","Other","RESTAURANT ORIENTAL-FAMILY STY","HE973","KJ022","KJ022","16510"
"437","1356G9214","0K108061","SUMMIT RISK ADVISORS LLC","Other","CONSULTANTS - MANAGEMENT","DCD27","DCD27","DCD27","30519"
"438","1415G6214","0K108964","B&B INS ASSOC INC","Hartford","CONSULTANTS - MANAGEMENT","DFG86","DFG86","DFG86","23002"
"439","1450GA214","0K109499","BMC INSURANCE AGENCY INC","Other","OFC PAC INS AGENTS","CST18","CSZ25","CSZ25","60586"
"442","1465G1214","0K109936","FEDELE INS SERV INC","Other","STORE PAC GROCERY STORE (UP TO","CCD74","HU335","HU335","15224"
"443","1574G4214","0K11111A","KERXTON INSURANCE","HIG","RESTAURANT ALL OTHER - FAMILY","NV793","NV793","NV793","28001"
"444","1592G3214","0K111575","EAGLE ROCK INS SERVICES","Other","CON PAC CARPENTRY-INTERIOR","CVQ02","CVQ02","CVQ02","61615"
"447","1594G2214","0K111631","HYLANT GROUP INC","Other","BLDG PAC APART INCIDENTAL MERC","43329","CXW50","CXW50","48104"
"448","8621E2214","0K111747","WALTERRY INS BROKERS","Other","GARAGE PAC BODY REPAIR AND COL","EK066","EK066","EK066","20735"
"450","1640G7214","0K112191","BULLDOG INSURANCE INC","Other","STORE PAC CONVENIENCE STORE W","RX841","RX841","RX841","36801"
"451","1624G7214","0K112302","INTERMOUNTAIN INS ASSOCS","Liberty","RESTAURANT ORIENTAL-FAMILY STY","WY380","CHY22","CHY22","84117"
"452","1654G4214","0K112351","MID ATLANTIC INS SERVS","Liberty Mutual","CONSULTANTS - MANAGEMENT","EJ330","X1363","X1363","22940"
"453","1658G2214","0K112387","CONTE INSURANCE AGCY INC","Hartford","CON PAC HEATING-COMBINE HVAC","HF421","HF421","HF421","1515"
"454","1664G3214","0K112560","PIAG INSURANCE SERVICES","Hanover","BUS PAC PRINTERS","HG501","HG501","HG501","30040"
"456","8089f7214","0K112627","MERIT INSURANCE SERVICES","Hartford","BLDG PAC OFC PRIMARY","CWC11","CWC11","CWC11","75252"
"457","1672G3214","0K113022","BANKERS INS-RICHMOND","Auto Owners","BUS PAC DAY SPA","WG055","X1153","X1153","23703"
"458","1670G4214","0K113138","ALEXANDER & STRUNK INC","Hartford","OFC PAC DENTISTS","FG007","XL688","XL688","73801"
"459","1700G9214","0K113267","EVERGREEN MICHIGAN INS","Liberty","STORE PAC CLOTHING WOMEN'S","TJ624","X4214","X4214","48185"
"461","1708G5214","0K113323","WELLINGTON ASSOC INC","Hartford","RESTAURANT ALL OTHER - FAMILY","CFV85","CFV85","CFV85","39120"
"462","1629ga214","0K113440","THUMANN AGENCY INC","Liberty","PET DAY CARE-NO OVERNGT BOARD","CKG65","CKG65","CKG65","76179"
"463","1583g9214","0K113870","PRATT INS INC","Donegal","BLDG PAC OFC PRIMARY","F4144","F4144","F4144","19702"
"464","1812G5214","0K115525","HAMILTON AGENCY\THE","Auto Owners","CON PAC CARPENTRY-INTERIOR","CSM00","CSM00","CSM00","30607"
"466","8723T4191","0K115795","DYER INSURANCE GROUP","Cincinnati","APART PAC BLDG 5-12 UNITS","HE598","HE598","HE598","26505"
"467","1885G2214","0K116104","HOLLINGER SERVS INC","Other","GARAGE PAC UPHOLSTERY, TOPS, A","27862","CGP06","CGP06","49424"
"468","1514GA214","0K116189","JW INSURANCE AGENCY INC","Hartford","OFC PAC INS AGENTS","TX434","TX434","TX434","20850"
"469","1887G1214","0K116245","PIAG INSURANCE SERVICES","Allied","BUS PAC PRINTERS","HG501","HG501","HG501","30040"
"470","1883G3214","0K116522","CORKILL INSURANCE AGENCY","Liberty","BLDG PAC GAS STATIONS - LESSOR","HG512","HG512","HG512","61111"
"471","1920G3214","0K116638","FIRST INDEPENDENT","Other","RESTAURANT ORIENTAL-FAMILY STY","CWP36","CWP36","CWP36","48313"
"472","1937G4214","0K117487","GURRY & ROGERS INSURANCE","Allied","RESTAURANT ORIENTAL-FAMILY STY","CLT17","XY762","XY762","98105"
"473","1971G3214","0K117961","DODRILL INSURANCE INC","Auto Owners","OFC PAC LAWYERS","22403","22403","22403","80203"
"474","2038G1214","0K118195","INS ASSOC OF RANKIN CTY","FCCI","BLDG PAC OFC PRIMARY","HG898","WT684","WT684","39046"
"475","2028g2214","0K118712","ASSOC AGENCIES INC","Hartford","BLDG PAC MERCANTILE OTHER","RR589","RR589","RR589","60611"
"476","2098G6214","0K118933","BERGER-BRIGGS RL EST INC","Hartford","ART GALLERY OR DEALER","HE771","G5078","G5078","87571"
"477","2112g4214","0K119063","MADRIGAL & ASSOCS INC","State Auto","GARAGE PAC GENERAL REPAIRS WIT","CDP27","F8055","F8055","67202"
"479","2114G3214","0K119099","JEWELL & ASSOCIATES INS","Hanover","OFC PAC REAL ESTATE SALES - RE","WM061","X4276","X4276","80111"
"480","2113G9214","0K11912A","NEAL\J T\INSURANCE AGCY","Other","BUS PAC NAIL SALONS","BCX37","XL827","XL827","73505"
"481","2118G1214","0K119155","MILAN INS PARTNERS LLC","Other","BLDG PAC OFC PRIMARY","CXH19","CXH19","CXH19","37204"
"482","2096G7214","0K119905","HEBERLING INS SVCS INC","State Auto","STORE PAC FURN APPL ACC FURN S","XM000","XM000","XM000","15090"
"486","2204G2214","0K120719","DIBUDUO & DEFENDIS INS","Dongbu","RESTAURANT OTHER ETHIC CUISINE","21761","CGH31","CGH31","93442"
